personal,type,address,image_url,external_link,sqft,acerage,price,Bedroom_count,bath_count
FALSE,commercial,"304 Henslee Dr  Dickson, TN 37055",https://rt-listings-media.w.cdn.realtracs.com/2721145/30951230-hr?ttl=1662573215&sp_sig=64da0476d0e7bdbf2aa686d78fa18b54,https://www.realtracs.com/listings/2721145,"3,543",1.01,"$2,299,000",null,null
FALSE,commercial,"211 Church St  Dickson, TN 37055",https://www.realtracs.com/listings/2696281/photos/30171794?highRes=false&signature=d5RPbdkvQUrgd8Y*8o01tPfzy.!YSWLTogKyBPSHuU5DX,https://www.realtracs.com/listings/2696281?listingStatuses=1;7;8&propertyClasses=Residential&mlsNumbers=2363319&auction=1&openHouse=0&sort=defaultAsc,"1,100",0.26,"$200,000",null,null
FALSE,residential,"374 College St N  McEwen, TN 37101",https://www.realtracs.com/listings/2702975/photos/30907904?highRes=false&signature=gfacOSK0rxbhSjkApTaMezdnhvvdwaxsWjKpL.mWOa61X,https://www.realtracs.com/listings/2702975?listingStatuses=1;7;8&propertyClasses=Residential&mlsNumbers=2388517&auction=1&openHouse=0&sort=defaultAsc,"2,376",0.40,"$129,900",4,2
FALSE,residential,"2811 Highway 31 WWhite House, TN 37188",https://www.realtracs.com/listings/2728533/photos/31285674?highRes=false&signature=bqcF1fkYw97esb.jWMiVuCblCefflXrIKh8NZwDIyWXbX,https://www.realtracs.com/listings/2728533?listingStatuses=1;7;8&propertyClasses=Residential&mlsNumbers=2394900&auction=1&openHouse=0&sort=defaultAsc,"1,024",1.23,"$1,200,000",3,1
FALSE,residential,"1825 W Sugar Creek RdMc Ewen, TN 37101",https://www.realtracs.com/listings/2734651/photos/31322891?highRes=false&signature=j!CKH5t528NfCl4fcRLI6N7N*zbrJHLTfDKFk0.Yx5gX,https://www.realtracs.com/listings/2734651?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2398262&auction=1&openHouse=0&sort=mlsNumDesc,"2,052",5.50,"$265,000",4,2
FALSE,land,"0 Eno Rd W Lot 0Dickson, TN 37055",https://www.realtracs.com/listings/2734799/photos/31372277?highRes=false&signature=h-P_p.BJNoCcs9M70jtqMk-pVOnpR5BMhykjo_AFNuJX,https://www.realtracs.com/listings/2734799?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2399691&auction=1&openHouse=0&sort=mlsNumDesc,null,21.10,"$675,200",null,null
FALSE,land,"0 Brazzell Road  Dickson, TN 37055",https://www.realtracs.com/listings/2739980/photos/31516003?highRes=false&signature=iKkzpNzE0tFfRLKUZSXF.5bbg1T3RRan!f18LiPCvYyNX,https://www.realtracs.com/listings/2739980?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2403572&auction=1&openHouse=0&sort=mlsNumDesc,null,7.23,"$95,000",null,null
FALSE,residential,"149 Millwood DrMurfreesboro, TN 37127",https://www.realtracs.com/listings/2740384/photos/31636533?highRes=false&signature=f-HROM*BOOdc9OB-F*Dx3YcZp2zGkJAylcyimV37eI0XX,https://www.realtracs.com/listings/2740384?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2405017&auction=1&openHouse=0&sort=mlsNumDesc,"2,234",4.70,"$559,900",3,2
FALSE,residential,"9007 Redbud LnNunnelly, TN 37137",https://www.realtracs.com/listings/2743369/photos/31610155?highRes=false&signature=inen2TMonJ2cai4u56k0NPfqdg3g-IW-FcoCVYWBw5B3X,https://www.realtracs.com/listings/2743369?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2406425&auction=1&openHouse=0&sort=mlsNumDesc,"2,745",2.05,"$449,900",2,2
FALSE,residential,"500 Whirlaway CtBurns, TN 37029",https://www.realtracs.com/listings/2742608/photos/31648290?highRes=false&signature=dk1KhL-542Qd1Vx2bmwDnbi_.GGYtEDPXehobu!yT4WLX,https://www.realtracs.com/listings/2742608?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2407372&auction=1&openHouse=0&sort=mlsNumDesc,"2,060",0.23,"$405,999",3,2.5
FALSE,residential,"1435 Myatt Loop RdBurns, TN 37029",https://www.realtracs.com/listings/2748138/photos/31862868?highRes=false&signature=bImbOQ5-bzicHTIBq58mEHdydhPSD30v1e4GPAeaoJqLX,https://www.realtracs.com/listings/2748138?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2410227&auction=1&openHouse=0&sort=mlsNumDesc,"2,025",2.00,"$399,900",4,3
FALSE,residential,"1339 Rock Springs RdCumberland Furnace, TN 37051",https://www.realtracs.com/listings/2744307/photos/31801512?highRes=false&signature=cVi2-p1-TdQe3pmZZiAS6*i8NCn9rKeiEbspRWZOrFAaX,https://www.realtracs.com/listings/2744307?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2410558&auction=1&openHouse=0&sort=mlsNumDesc,"1,624",6.11,"$499,900",2,2
FALSE,residential,"404 Patricia DrAshland City, TN 37015",https://www.realtracs.com/listings/2751689/photos/32561707?highRes=false&signature=bseMX!SH3Woho2zHUBEWnMjKpcAlbsLyHiAZdQK8CYCuX,https://www.realtracs.com/listings/2751689?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2413426&auction=1&openHouse=0&sort=mlsNumDesc,"2,304",1.08,"$425,000",4,2.5
FALSE,land,"0 Hazel DrCenterville, TN 37033",https://www.realtracs.com/listings/2756933/photos/32024591?highRes=false&signature=bl-pCW3mvOQj_mMTR2e47Ker9Ftv8AkTAigMBu1jDFG3X,https://www.realtracs.com/listings/2756933?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2418495&auction=1&openHouse=0&sort=mlsNumDesc,null,5.11,"$32,900",null,null
FALSE,residential,"1318 E Main StWaverly, TN 37185",https://www.realtracs.com/listings/2759075/photos/32177009?highRes=false&signature=fbB!T4hvRrDjZ.WNhp.kyShht0iugfzBfc!zB-eT2QK7X,https://www.realtracs.com/listings/2759075?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2423663&auction=1&openHouse=0&sort=mlsNumDesc,"1,571",1.90,"$220,000",4,1.5
FALSE,residential,"208 S Hummingbird LnDickson, TN 37055",https://www.realtracs.com/listings/2766544/photos/32359910?highRes=false&signature=rSh5mxCXiefEL5Z8f6nW9cQX.VVvEWrtiD-v1cjbPBMX,https://www.realtracs.com/listings/2766544?listingStatusesCriteria=1:::;8:::;7:::&propertyClasses=Residential&mlsNumbers=2427938&auction=1&openHouse=0&sort=mlsNumDesc,"1,525",0.37,"$328,000",3,1.5
